scenario,scale,base_mean_rl,damp_mean_rl,delta_mean_rl
Energy: RUS petroleum refining,0.5,0.05409004660244936,0.016981316692852307,0.03710872990959705
Energy: Full Russia collapse,0.5,0.08745188513050552,0.0366082123365674,0.050843672793938116
Energy: Ukraine war proxy,0.5,0.06645213311352735,0.02216390646378581,0.04428822664974154
Oil: OPEC-style extraction shock,0.5,0.10190237328076433,0.04156792595152807,0.06033444732923626
Financial: 2008-style US+UK+IRL finance,0.5,0.02812586548837158,0.006896189781500847,0.021229675706870732
Food: Major agricultural exporters shock,0.5,0.022288586747082326,0.005965507256716002,0.016323079490366325
Tech: Semiconductor shock CHN+KOR+TWN,0.5,0.26103998903465153,0.05215466089484988,0.20888532813980165
COVID: Global transport + hospitality shutdown,0.5,0.6642639602492473,0.2357323992450984,0.4285315610041489
Energy: RUS petroleum refining,1.0,0.05409004660244936,0.007408511249367077,0.04668153535308228
Energy: Full Russia collapse,1.0,0.08745188513050552,0.02114223410746336,0.06630965102304215
Energy: Ukraine war proxy,1.0,0.06645213311352735,0.01032697027059841,0.05612516284292894
Oil: OPEC-style extraction shock,1.0,0.10190237328076433,0.02354338570010998,0.07835898758065435
Financial: 2008-style US+UK+IRL finance,1.0,0.02812586548837158,0.0031119002483574526,0.025013965240014126
Food: Major agricultural exporters shock,1.0,0.022288586747082326,0.0026651327831418883,0.019623453963940437
Tech: Semiconductor shock CHN+KOR+TWN,1.0,0.26103998903465153,0.018804586142201925,0.2422354028924496
COVID: Global transport + hospitality shutdown,1.0,0.6642639602492473,0.11889494883999206,0.5453690114092552
Energy: RUS petroleum refining,1.5,0.05409004660244936,0.0038067454606515445,0.05028330114179781
Energy: Full Russia collapse,1.5,0.08745188513050552,0.013327259639519804,0.07412462549098571
Energy: Ukraine war proxy,1.5,0.06645213311352735,0.0056240645040745016,0.06082806860945285
Oil: OPEC-style extraction shock,1.5,0.10190237328076433,0.015072881138334085,0.08682949214243024
Financial: 2008-style US+UK+IRL finance,1.5,0.02812586548837158,0.001577154206078751,0.026548711282292827
Food: Major agricultural exporters shock,1.5,0.022288586747082326,0.0012721588280739603,0.021016427919008367
Tech: Semiconductor shock CHN+KOR+TWN,1.5,0.26103998903465153,0.008723162065230541,0.252316826969421
COVID: Global transport + hospitality shutdown,1.5,0.6642639602492473,0.06177063367976489,0.6024933265694824
