boot_id,label,mean_delta_rl,median_delta_rl,top_country_delta_value,country_delta_mean
0,max_V,2.4333400211065418e-05,5.621993860807717e-06,0.001494911119621761,2.4514258564367968e-05
0,max_d,0.012058763032850544,0.006902033097487643,0.14748377775188734,0.012162139987523298
0,max_phi,0.002050754902242778,0.0017278371917450709,0.009955493386617026,0.002058066729517329
0,RUS_C19,0.019205975476354786,0.009026250982113487,0.28282729761648,0.019222539270087952
0,USA_C19,0.013356811318259979,0.009939929261272473,0.09683300611927538,0.013347651333521768
1,max_V,2.3332000991125398e-05,5.5701731953188705e-06,0.001418799962220889,2.3503213148438453e-05
1,max_d,0.012033038944502972,0.006823504485653247,0.14338983907547176,0.012133445411976394
1,max_phi,0.0019410082268117189,0.0016461862897798913,0.009276839150456493,0.00194785095509694
1,RUS_C19,0.018689252681411486,0.008831187830205865,0.27465259371945216,0.018705355651139642
1,USA_C19,0.013153352720480344,0.009840981914059445,0.09305107152045983,0.013145358556678173
2,max_V,2.3465613063810705e-05,5.6415810294291255e-06,0.0014237988826358424,2.363749117382794e-05
2,max_d,0.011924885795819861,0.006734822519695846,0.14557264363275416,0.012026016151907137
2,max_phi,0.002030968485086834,0.0017020884087507542,0.009786536665451987,0.0020381282777076014
2,RUS_C19,0.018374605263925217,0.008585472254526764,0.2726671483857414,0.01839083113510359
2,USA_C19,0.013376149170864295,0.009972166414590535,0.095388606756871,0.013366748181719882
3,max_V,2.2355251228503775e-05,5.479696652369213e-06,0.001347815292042455,2.2517516911094198e-05
3,max_d,0.011979207312617013,0.006773366559202335,0.14767587320001052,0.012081783082292219
3,max_phi,0.0020161900577555843,0.0017039069826304434,0.00966295580659373,0.002023229419606957
3,RUS_C19,0.018421222929771094,0.008653432300311133,0.2732492018674099,0.018437245786508762
3,USA_C19,0.01320082881879582,0.009827081053907085,0.09429409739148512,0.013191897229095917
4,max_V,2.4390706236075994e-05,5.63462886949836e-06,0.0014973575511026387,2.4571694226263348e-05
4,max_d,0.012038634277896915,0.006886618888918666,0.14708642462022076,0.012142193578185124
4,max_phi,0.0019963159090740784,0.00168636066781508,0.009668681780185153,0.0020033929964879005
4,RUS_C19,0.019155360423083214,0.008962741803266665,0.28245628000426015,0.019172054520746107
4,USA_C19,0.013106572205391295,0.009760071152586628,0.09536618565357027,0.013097184649436105
