scale,label,mode,shock_nodes,mean_rl_base,mean_rl_damp,mean_delta_rl,median_delta_rl,max_delta_rl,top_country_delta,top_country_delta_value,country_delta_mean
0.5,max_V,single_node,1,8.85079057743806e-05,7.407276555566144e-05,1.443514021871914e-05,4.2264346169263145e-06,0.002457607109799827,TUN,0.0008232871840805154,1.4535216647667854e-05
0.5,max_d,single_node,1,0.014259630403064284,0.005882583360792905,0.00837704704227138,0.005134818328573973,0.221595463346825,DNK,0.09103389960872268,0.008442643363140327
0.5,max_phi,single_node,1,0.0021558127362952886,0.0005084290822777558,0.001647383654017533,0.0013914021240700133,0.02010079713067231,DEU,0.007190952481305225,0.001652881328396023
0.5,RUS_C19,single_node,1,0.025329725890803692,0.01222389748736376,0.013105828403439932,0.00652073042109815,0.23651266088069173,RUS,0.18079399855137893,0.013117008628942656
0.5,USA_C19,single_node,1,0.01638765729601573,0.006741116110805364,0.009646541185210364,0.007503131029472964,0.11678934616720804,CAN,0.06505637981795181,0.009642336512322618
0.75,max_V,single_node,1,8.85079057743806e-05,6.901329970885692e-05,1.9494606065523675e-05,5.090969965306544e-06,0.0034494539542605967,TUN,0.0011540055974348278,1.9634380421788226e-05
0.75,max_d,single_node,1,0.014259630403064284,0.003750154431546052,0.010509475971518231,0.006176345864160114,0.3312972147586799,DNK,0.12102831022884376,0.010595277323438344
0.75,max_phi,single_node,1,0.0021558127362952886,0.0002627973478520185,0.0018930153884432702,0.0015966190486511721,0.02731512460608316,DEU,0.008698984216765246,0.0018994969460558629
0.75,RUS_C19,single_node,1,0.025329725890803692,0.008685378998830302,0.01664434689197339,0.008020949393147207,0.31502493515638613,RUS,0.2377186684862331,0.01665859093479261
0.75,USA_C19,single_node,1,0.01638765729601573,0.0046006912308283795,0.01178696606518735,0.008954698927216134,0.1614388634598609,CAN,0.08194155428515508,0.01178025810365924
1.0,max_V,single_node,1,8.85079057743806e-05,6.482627629484266e-05,2.3681629479537945e-05,5.596217650623314e-06,0.004316954744496593,TUN,0.001444122772286483,2.38561770878271e-05
1.0,max_d,single_node,1,0.014259630403064284,0.0022913867260250477,0.011968243677039235,0.006805242093266378,0.4404760913135901,DNK,0.14489170871086554,0.012069673738291018
1.0,max_phi,single_node,1,0.0021558127362952886,0.0001418492963519121,0.0020139634399433766,0.0016945767365143265,0.03358558957956749,DEU,0.009688445201266629,0.002021052592020025
1.0,RUS_C19,single_node,1,0.025329725890803692,0.0062704793992023125,0.01905924649160138,0.008971056698788055,0.3866054673146567,RUS,0.28029801598476356,0.019075722789299743
1.0,USA_C19,single_node,1,0.01638765729601573,0.003278950646438567,0.013108706649577162,0.009754716505190377,0.20010415490296904,CAN,0.09354520315932355,0.013099826126385036
1.25,max_V,single_node,1,8.85079057743806e-05,6.127113506307356e-05,2.723677071130703e-05,5.888699878446155e-06,0.005078806279059771,TUN,0.001700783029616378,2.7442104273692327e-05
1.25,max_d,single_node,1,0.014259630403064284,0.0012524496007334093,0.013007180802330874,0.007146861846386581,0.5492188483210005,DNK,0.16439813207288775,0.013121138927111404
1.25,max_phi,single_node,1,0.0021558127362952886,7.701806244937312e-05,0.002078794673845916,0.0017503281498355231,0.039197691901310575,DEU,0.010396890943478959,0.0020863076416163195
1.25,RUS_C19,single_node,1,0.025329725890803692,0.004596936663032302,0.02073278922777139,0.009514862495798864,0.44924451287415385,RUS,0.31244359347206463,0.02075097633235153
1.25,USA_C19,single_node,1,0.01638765729601573,0.002427321216380307,0.01396033607963542,0.010218665861975475,0.23409184184151324,CAN,0.10183296535428049,0.01394967679492746
1.5,max_V,single_node,1,8.85079057743806e-05,5.819147086503413e-05,3.031643490934647e-05,6.074353570797277e-06,0.005760541737836502,TUN,0.0019295121464476712,3.054924845667898e-05
1.5,max_d,single_node,1,0.014259630403064284,0.00048582200426532975,0.013773808398798952,0.007328770169719925,0.6575820518987554,DNK,0.1807125027843992,0.013898106727007913
1.5,max_phi,single_node,1,0.0021558127362952886,3.8661586212092555e-05,0.002117151150083196,0.001778927775670908,0.044307027256189624,DEU,0.010936029454114,0.002124984745780337
1.5,RUS_C19,single_node,1,0.025329725890803692,0.003416966284658098,0.021912759606145592,0.009846336118842733,0.5031399145047524,RUS,0.3369571473301444,0.02193231285708812
1.5,USA_C19,single_node,1,0.01638765729601573,0.00185146727273893,0.014536190023276798,0.010469954991451012,0.2642371729929048,CAN,0.10797027439849875,0.014524107223017453
