scenario,vj_quintile,mean_delta_rl,median_delta_rl,std_delta_rl,n_nodes,max_delta_rl
max_V,Q1_Low,1.8432975182166917e-05,5.6645023359639365e-06,0.0001542243906659901,786,0.002220033503032153
max_V,Q3,9.841898305163138e-06,5.798189435989789e-06,8.073194795294781e-05,786,0.002171649311503057
max_V,Q4,2.9465373339483175e-05,5.524985976740368e-06,0.0002274451066532033,785,0.0033661507234336047
max_V,Q5_High,4.6528673805001424e-05,5.328271303009611e-06,0.00035623356316393087,785,0.004316954744496593
max_V,Q2,1.4163543180488759e-05,5.713729217549303e-06,0.00011486353133531089,785,0.002609907666433594
max_d,Q1_Low,0.011967759692784657,0.00658827713729305,0.020655245830600057,785,0.23641956627964572
max_d,Q3,0.012552174765821074,0.007128740598806497,0.02371464479225213,786,0.4404760913135901
max_d,Q4,0.011510101923461923,0.007117663989849873,0.020402242162998258,785,0.21403379367703385
max_d,Q5_High,0.011376405439889315,0.0061009788541136235,0.026838632270196425,786,0.42699731583134154
max_d,Q2,0.012434786636039682,0.006766631285567671,0.020985743537542238,785,0.3280786362735715
max_phi,Q1_Low,0.002124117846163232,0.0016611518357839555,0.001970367130851098,786,0.03358558957956749
max_phi,Q3,0.0021404447742002218,0.001948658617075934,0.0015942372142651986,786,0.013566348241043228
max_phi,Q4,0.002052717406629919,0.0018190844454693913,0.0016122013032758363,785,0.013163000470968269
max_phi,Q5_High,0.0017961066664520875,0.0013544553790848198,0.0016476618012912297,786,0.029142562883047528
max_phi,Q2,0.0019563331696634415,0.0016621121637218931,0.001424915956679221,784,0.01184388260929798
RUS_C19,Q1_Low,0.016985275932399024,0.00802177856875659,0.03504426865011964,786,0.3618281724031421
RUS_C19,Q3,0.019801964102533324,0.01001555290317578,0.04209609969926198,786,0.37577407681056496
RUS_C19,Q4,0.01864587802175056,0.00995599367676093,0.03477244736404683,785,0.3528227549519013
RUS_C19,Q5_High,0.019197667013190662,0.007998100236610696,0.04036211951454361,785,0.3866054673146567
RUS_C19,Q2,0.020667143251761694,0.008840212909317673,0.04683172859341248,785,0.3740327239601493
USA_C19,Q1_Low,0.012363636563078524,0.009517366020716442,0.013446166540528099,786,0.15735873545878823
USA_C19,Q3,0.013540062204627737,0.009957637601355342,0.016095569280072008,786,0.13444563061297599
USA_C19,Q4,0.013984794147395422,0.009910057145980547,0.018685101371852787,785,0.20010415490296904
USA_C19,Q5_High,0.012949620510501452,0.009807800985776155,0.013890697387294551,785,0.135611722206539
USA_C19,Q2,0.01270581945862847,0.00976116999433507,0.013374098988169734,785,0.11917395918289841
